"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","alpha.liquid","alpha.liquid_0","alpha.solid","dmdt.solidToLiquid","p","p_rgh","rho"
1.54e-05,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
1.54e-05,4.6e-06,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0,4.6e-06,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
3.08e-05,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
3.08e-05,4.6e-06,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
4.62e-05,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
4.62e-05,4.6e-06,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
6.16e-05,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
6.16e-05,4.6e-06,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
7.7e-05,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
7.7e-05,4.6e-06,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
9.24e-05,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
9.24e-05,4.6e-06,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0001078,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0001078,4.6e-06,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0001232,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0001232,4.6e-06,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0001386,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0001386,4.6e-06,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.000154,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.000154,4.6e-06,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0001694,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0001694,4.6e-06,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0001848,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0001848,4.6e-06,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0002002,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0002002,4.6e-06,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0002156,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0002156,4.6e-06,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.000231,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.000231,4.6e-06,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
0.0002464,0,3.3e-05,293.15,0,0,0,0,0,1,0,0,0,2650
